Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21327,2014/12/20 05:44:08.600,-30.1947,-150.8081,89.1703,49.9571,49.957,-19724730.0,-232928496.0,443396.0313,445570.5,442063.9375,432185.1563,433149.5625,431409.25,-188386752.0,190590512.0,1,29.288484596066667
21359,2014/12/20 05:44:09.880,-49.8121,-170.4261,69.5521,49.9576,49.9581,-16792890.0,-234356176.0,443201.875,445354.625,441837.25,431952.3438,432882.2188,431134.375,-201913248.0,202987472.0,1,29.227982373915264
21257,2014/12/20 05:44:05.800,12.8676,-107.7443,132.2349,49.956,49.9566,-19010656.0,-233854416.0,443280.6875,445435.6563,441956.3438,432048.0,432986.25,431265.9688,-193014272.0,194217936.0,1,29.17099521548746
21326,2014/12/20 05:44:08.560,-29.5723,-150.1854,89.7936,49.9571,49.957,-19795278.0,-232787552.0,443405.8125,445577.875,442071.5313,432202.625,433160.8438,431422.75,-188832384.0,190823056.0,1,29.14965570603633
21237,2014/12/20 05:44:05.000,25.333,-95.2815,144.6976,49.9569,49.957,-19011768.0,-232353840.0,443432.8125,445628.3438,442118.0938,432248.4063,433229.9375,431481.1563,-181985120.0,185053472.0,1,29.139324621982734
21325,2014/12/20 05:44:08.520,-28.9516,-149.5628,90.416,49.9571,49.957,-19820244.0,-232659360.0,443415.9063,445590.1563,442085.625,432226.8125,433179.1875,431456.25,-189332976.0,191040048.0,1,29.06421644280752
21236,2014/12/20 05:44:04.960,25.9509,-94.6608,145.3176,49.9568,49.957,-19458054.0,-232234368.0,443442.7813,445638.4375,442129.4375,432272.7188,433249.5625,431521.7813,-181791008.0,184843376.0,1,29.062881757620666
21360,2014/12/20 05:44:09.920,-50.4167,-171.0295,68.9463,49.9577,49.9581,-16320936.0,-234578720.0,443196.1563,445358.3438,441835.5,431931.625,432873.9688,431126.1563,-202400288.0,203509824.0,1,29.043703868713763
21258,2014/12/20 05:44:05.840,12.2419,-108.3692,131.6102,49.9561,49.9567,-18707024.0,-233909008.0,443275.375,445426.1875,441947.9375,432041.9063,432973.5313,431259.4375,-193889072.0,194860528.0,1,29.013704994980753
21235,2014/12/20 05:44:04.920,26.5706,-94.0412,145.9372,49.9571,49.957,-20182410.0,-232196352.0,443454.1563,445647.5625,442142.9688,432288.5,433266.25,431537.375,-182046672.0,184773040.0,1,28.986366393796317
21324,2014/12/20 05:44:08.480,-28.3342,-148.9441,91.0334,49.957,49.957,-19701120.0,-232609504.0,443426.5938,445602.9375,442101.5313,432242.7188,433200.4063,431483.125,-190188480.0,191163408.0,1,28.945119796420308
21259,2014/12/20 05:44:05.880,11.6259,-108.9849,130.9941,49.9562,49.9567,-17996166.0,-234055360.0,443268.2188,445420.625,441935.7813,432026.3438,432958.9688,431245.7813,-194755072.0,195421936.0,1,28.891402742577963
21361,2014/12/20 05:44:09.960,-51.0199,-171.6322,68.3418,49.9577,49.9581,-15707340.0,-234678192.0,443188.0,445358.0938,441835.7188,431912.25,432865.1875,431114.6875,-203040864.0,204141024.0,1,28.88632004229696
21262,2014/12/20 05:44:06.000,9.7575,-110.8564,129.1204,49.9563,49.9569,-16410633.0,-234306272.0,443236.7813,445410.1563,441902.0625,431979.2188,432937.8125,431189.7813,-196570480.0,197428816.0,1,28.868133346081912
21260,2014/12/20 05:44:05.920,11.0018,-109.6096,130.3692,49.9563,49.9568,-17023174.0,-234214288.0,443260.5313,445415.5938,441923.5,432000.7813,432937.1875,431217.8438,-195337120.0,196036976.0,1,28.861501126968605
21263,2014/12/20 05:44:06.040,9.136,-111.4776,128.498,49.9564,49.9569,-16471672.0,-234344832.0,443226.5938,445405.8438,441895.1563,431972.25,432938.375,431188.0313,-197474864.0,198127056.0,1,28.85565206131409
